Greenhouse Placement,Seedling ID,Site,Tall/Short,Empty (1 = yes),Avg height of additional stems
1.1,SFB23,Folly Beach,Short,,25.25
1.2,SFB25,Folly Beach,Short,,18.5
1.3,SBI16,Bowens Island,Short,,26.125
1.4,SFB21,Folly Beach,Short,,16.75
1.5,SBI19,Bowens Island,Short,,33.5
1.6,TFB20,Folly Beach,Tall,1,
1.7,SFJ10,Fort Johnson,Short,,12.25
1.8,TBI17,Bowens Island,Tall,,27
1.9,SBI5,Bowens Island,Short,,24.125
1.1,TBI1,Bowens Island,Tall,,31.25
1.11,TFB21,Folly Beach,Tall,1,
1.12,TBI4,Bowens Island,Tall,,32.5
1.13,SBI20,Bowens Island,Short,,24.75
2.1,SFJ21,Fort Johnson,Short,1,
2.2,TFB24,Folly Beach,Tall,1,
2.3,SFB12,Folly Beach,Short,,22.75
2.4,TFB13,Folly Beach,Tall,,29.125
2.5,SFB11,Folly Beach,Short,,26.25
2.6,SFJ8,Fort Johnson,Short,,26.75
2.7,SFB8,Folly Beach,Short,,21.5
2.8,SBI17,Bowens Island,Short,1,
2.9,SBI22,Bowens Island,Short,,26.125
2.1,TFB11,Folly Beach,Tall,1,
2.11,SFJ14,Fort Johnson,Short,1,
2.12,TBI3,Bowens Island,Tall,,29.875
2.13,TBI9,Bowens Island,Tall,,26.5
3.1,TBI25,Bowens Island,Tall,,26.875
3.2,TFB19,Folly Beach,Tall,1,
3.3,TBI12,Bowens Island,Tall,,31.25
3.4,TBI23,Bowens Island,Tall,,36.75
3.5,TFB3,Folly Beach,Tall,,28.875
3.6,SFJ23,Fort Johnson,Short,1,
3.7,SBI14,Bowens Island,Short,,24.5
3.8,SBI2,Bowens Island,Short,,27.375
3.9,TFB2,Folly Beach,Tall,,23.125
3.1,TFJ20,Fort Johnson,Tall,,26.375
3.11,SFJ4,Fort Johnson,Short,1,
3.12,TFB16,Folly Beach,Tall,,25.25
3.13,TBI13,Bowens Island,Tall,,26.75
4.1,SBI24,Bowens Island,Short,,29.75
4.2,TFJ24,Fort Johnson,Tall,,30.25
4.3,TFJ5,Fort Johnson,Tall,,27.875
4.4,SFJ16,Fort Johnson,Short,,22.125
4.5,SFB16,Folly Beach,Short,,30.5
4.6,TFJ23,Fort Johnson,Tall,1,
4.7,SFJ24,Fort Johnson,Short,,26.375
4.8,SFB9,Folly Beach,Short,,22.625
4.9,SFJ17,Fort Johnson,Short,1,
4.1,TFJ21,Fort Johnson,Tall,1,
4.11,SFB15,Folly Beach,Short,,26.375
4.12,SBI13,Bowens Island,Short,,16.375
4.13,SFB4,Folly Beach,Short,,28.125
