Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,SA - site,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Julian Day,Surivial,Status,# Live Stems,max Height,Flowering.Yes
SBI,Bowens Island,Short,1,1,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 9,A,12-Dec,347,1,0,12,26,0
SBI,Bowens Island,Short,1,2,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 10,B,12-Dec,347,1,0,23,30,0
SBI,Bowens Island,Short,1,3,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 25,F,12-Dec,347,1,0,28,34,1
SBI,Bowens Island,Short,1,4,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 14,D,12-Dec,347,1,0,11,45,0
SBI,Bowens Island,Short,1,5,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 1,D,12-Dec,347,1,0,11,38,0
SBI,Bowens Island,Short,1,6,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 5,B,12-Dec,347,1,0,19,33,0
SBI,Bowens Island,Short,1,7,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 1,F,12-Dec,347,1,0,16,40,0
SBI,Bowens Island,Short,1,8,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 9,B,12-Dec,347,1,0,1,20,0
SBI,Bowens Island,Short,1,9,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 9,D,12-Dec,347,1,0,23,42,0
SBI,Bowens Island,Short,1,10,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 23,G,12-Dec,347,1,0,8,46,1
SBI,Bowens Island,Short,1,11,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 19,E,12-Dec,347,1,0,15,46,0
SBI,Bowens Island,Short,1,12,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 25,H,12-Dec,347,1,0,21,58,0
SBI,Bowens Island,Short,1,13,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 9,D,12-Dec,347,1,0,24,40,0
SBI,Bowens Island,Short,1,14,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 17,D,12-Dec,347,1,0,10,46,1
SBI,Bowens Island,Short,1,15,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 19,B,12-Dec,347,1,0,23,37,0
SBI,Bowens Island,Short,1,16,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 6,A,12-Dec,347,1,0,9,42,0
SBI,Bowens Island,Short,1,17,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 11,B,12-Dec,347,1,0,17,46,1
SBI,Bowens Island,Short,1,18,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 4,E,12-Dec,347,1,0,15,44,0
SBI,Bowens Island,Short,1,19,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 13,E,12-Dec,347,1,0,14,41,0
SBI,Bowens Island,Short,1,20,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 19,A,12-Dec,347,1,0,11,37,0
SBI,Bowens Island,Short,1,21,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 12,F,12-Dec,347,1,0,8,33,0
SBI,Bowens Island,Short,1,22,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 16,E,12-Dec,347,1,0,18,48,0
SBI,Bowens Island,Short,1,23,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 20,H,12-Dec,347,1,0,13,39,0
SBI,Bowens Island,Short,1,24,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 3,C,12-Dec,347,0,1,NA,NA,NA
SBI,Bowens Island,Short,1,25,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 2,C,12-Dec,347,1,0,16,41,0
SBI,Bowens Island,Short,1,26,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 1,D,12-Dec,347,1,0,13,43,0
SBI,Bowens Island,Short,1,27,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 12,C,12-Dec,347,1,0,17,43,0
SBI,Bowens Island,Short,1,28,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 17,B,12-Dec,347,1,0,20,47,0
SBI,Bowens Island,Short,1,29,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 7,A,12-Dec,347,1,0,8,30,0
SBI,Bowens Island,Short,1,30,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 17,D,12-Dec,347,1,0,15,46,1
SBI,Bowens Island,Short,2,1,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 12,F,12-Dec,347,1,0,4,67,0
SBI,Bowens Island,Short,2,2,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 1,G,12-Dec,347,1,0,10,45,0
SBI,Bowens Island,Short,2,3,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 22,H,12-Dec,347,1,0,17,37,1
SBI,Bowens Island,Short,2,4,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 16,F,12-Dec,347,1,0,8,45,0
SBI,Bowens Island,Short,2,5,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 4,B,12-Dec,347,1,0,2,14,0
SBI,Bowens Island,Short,2,6,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 8,C,12-Dec,347,1,0,20,36,0
SBI,Bowens Island,Short,2,7,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 6,G,12-Dec,347,1,0,26,41,0
SBI,Bowens Island,Short,2,8,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 15,D,12-Dec,347,1,0,20,41,0
SBI,Bowens Island,Short,2,9,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 11,A,12-Dec,347,1,0,28,41,1
SBI,Bowens Island,Short,2,10,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 15,C,12-Dec,347,1,0,23,36,1
SBI,Bowens Island,Short,2,11,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 20,C,12-Dec,347,1,0,32,43,0
SBI,Bowens Island,Short,2,12,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 10,D,12-Dec,347,1,0,21,44,0
SBI,Bowens Island,Short,2,13,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 22,E,12-Dec,347,1,0,17,39,1
SBI,Bowens Island,Short,2,14,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 16,H,12-Dec,347,1,0,14,46,0
SBI,Bowens Island,Short,2,15,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 7,B,12-Dec,347,1,0,10,43,0
SBI,Bowens Island,Short,2,16,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 25,G,12-Dec,347,1,0,11,43,0
SBI,Bowens Island,Short,2,17,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 3,C,12-Dec,347,1,0,4,46,0
SBI,Bowens Island,Short,2,18,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 19,E,12-Dec,347,1,0,7,30,1
SBI,Bowens Island,Short,2,19,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 7,G,12-Dec,347,1,0,13,43,0
SBI,Bowens Island,Short,2,20,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 6,A,12-Dec,347,1,0,10,43,0
SBI,Bowens Island,Short,2,21,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 5,E,12-Dec,347,1,0,12,55,0
SBI,Bowens Island,Short,2,22,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 4,B,12-Dec,347,1,0,6,39,0
SBI,Bowens Island,Short,2,23,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 20,E,12-Dec,347,1,0,14,57,0
SBI,Bowens Island,Short,2,24,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 21,D,12-Dec,347,1,0,14,48,1
SBI,Bowens Island,Short,2,25,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 24,F,12-Dec,347,1,0,7,69,0
SBI,Bowens Island,Short,2,26,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 6,A,12-Dec,347,1,0,10,34,0
SBI,Bowens Island,Short,2,27,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 13,D,12-Dec,347,0,1,NA,NA,NA
SBI,Bowens Island,Short,2,28,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 15,D,12-Dec,347,1,0,15,44,0
SBI,Bowens Island,Short,2,29,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 2,C,12-Dec,347,1,0,11,42,0
SBI,Bowens Island,Short,2,30,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 13,A,12-Dec,347,1,0,6,32,0
SFB,Folly Beach,Short,3,1,Tall,FB,allopatric,allopatric,sympatric,TFB,TFB 13,F,12-Dec,347,1,0,6,38,0
SFB,Folly Beach,Short,3,2,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 25,D,12-Dec,347,1,0,5,51,1
SFB,Folly Beach,Short,3,3,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 14,B,12-Dec,347,1,0,2,26,0
SFB,Folly Beach,Short,3,4,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 20,F,12-Dec,347,1,0,12,35,0
SFB,Folly Beach,Short,3,5,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 6,D,12-Dec,347,1,0,5,54,0
SFB,Folly Beach,Short,3,6,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 7,H,12-Dec,347,1,0,12,49,0
SFB,Folly Beach,Short,3,7,Short,FB,sympatric,sympatric,sympatric,SFB,SFB 6,G,12-Dec,347,1,0,6,28,0
SFB,Folly Beach,Short,3,8,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 24,H,12-Dec,347,1,0,10,47,0
SFB,Folly Beach,Short,3,9,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 20,E,12-Dec,347,1,0,1,3,0
SFB,Folly Beach,Short,3,10,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 1,A,12-Dec,347,1,0,12,40,0
