Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Surivial,# Live Stems,Average Height,max Height,Flowering.Yes,Flowering.No,Survival.Yes,Survival.No,num.live.stems,Aboveground Biomass (g),Belowground Biomass (g),Above:below,Total biomass,Transplant ID Description,Flower No,Total Seeds,Avg No Seeds Per Flower,Days.since.May04,Total Seeds with zeros,Above-to-Total,Below-to-Total
TFJ,Fort Johnson,Tall,1,15,Tall,FB,sympatric,allopatric,TFB,TFB 25,F,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.047,1.263,0.037212985,1.31,NA,NA,NA,NA,NA,0,0.035877863,0.964122137
TFB,Folly Beach,Tall,1,22,Short,FJ,allopatric,allopatric,SFJ,SFJ 25,C,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.067,0.426,0.157276995,0.493,NA,NA,NA,NA,NA,0,0.135902637,0.864097363
TFJ,Fort Johnson,Tall,2,20,Short,FJ,allopatric,allopatric,SFJ,SFJ 25,B,2012-11-16,1,1,6,6,0,1,1,0,1,0.432,2.666,0.16204051,3.098,NA,NA,NA,NA,NA,0,0.139444803,0.860555197
SFJ,Fort Johnson,Short,1,17,Short,FJ,sympatric,sympatric,SFJ,SFJ 8,F,2012-11-16,1,1,14,14,0,1,1,0,1,0.297,1.817,0.163456247,2.114,NA,NA,NA,NA,NA,0,0.140491958,0.859508042
TFB,Folly Beach,Tall,1,10,Short,FJ,allopatric,allopatric,SFJ,SFJ 22,H,2012-12-16,1,1,2,2,0,1,1,0,1,0.232,1.392,0.166666667,1.624,NA,NA,NA,NA,NA,0,0.142857143,0.857142857
TFJ,Fort Johnson,Tall,1,1,Tall,BI,sympatric,allopatric,TBI,TBI 17,G,2012-11-16,1,2,20,20.5,0,1,1,0,2,0.28,1.392,0.201149425,1.672,NA,NA,NA,NA,NA,0,0.167464115,0.832535885
TFB,Folly Beach,Tall,1,24,Tall,BI,sympatric,allopatric,TBI,TBI 21,G,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.017,0.084,0.202380952,0.101,NA,NA,NA,NA,NA,0,0.168316832,0.831683168
TFJ,Fort Johnson,Tall,2,11,Short,BI,allopatric,allopatric,SBI,SBI 7,E,2012-11-16,1,7,3.642857143,5.5,0,1,1,0,7,1.109,5.302,0.209166352,6.411,NA,NA,NA,NA,NA,0,0.172983934,0.827016066
TFB,Folly Beach,Tall,1,28,Short,BI,allopatric,allopatric,SBI,SBI 2,G,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.146,0.695,0.210071942,0.841,NA,NA,NA,NA,NA,0,0.173602854,0.826397146
TFJ,Fort Johnson,Tall,2,22,Tall,FJ,sympatric,sympatric,TFJ,TFJ 19,F,2012-11-16,1,4,16,20,0,1,1,0,4,1.085,5.155,0.210475267,6.24,NA,NA,NA,NA,NA,0,0.173878205,0.826121795
TFJ,Fort Johnson,Tall,1,8,Tall,FJ,sympatric,sympatric,TFJ,TFJ 9,F,2012-11-16,1,12,15.33333333,59,0,1,1,0,12,1.506,5.882,0.256035362,7.388,NA,NA,NA,NA,NA,0,0.203844071,0.796155929
SFB,Folly Beach,Short,1,16,Tall,FJ,allopatric,allopatric,TFJ,TFJ 5,C,12/13/16,1,1,4,4,0,1,1,0,1,0.054,0.206,0.262135922,0.26,NA,NA,NA,NA,NA,0,0.207692308,0.792307692
TFB,Folly Beach,Tall,2,27,Short,FJ,allopatric,allopatric,SFJ,SFJ 9,C,2012-12-16,1,2,29,34,0,1,1,0,2,0.716,2.531,0.282892137,3.247,NA,NA,NA,NA,NA,0,0.220511241,0.779488759
SFB,Folly Beach,Short,1,28,Short,FJ,sympatric,allopatric,SFJ,SFJ 8,G,12/13/16,1,1,19,19,0,1,1,0,1,0.162,0.545,0.297247706,0.707,NA,NA,NA,NA,NA,0,0.229137199,0.770862801
TFB,Folly Beach,Tall,1,16,Short,FB,allopatric,allopatric,SFB,SFB 19,D,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.128,0.387,0.330749354,0.515,NA,NA,NA,NA,NA,0,0.248543689,0.751456311
TFJ,Fort Johnson,Tall,1,9,Short,BI,allopatric,allopatric,SBI,SBI 9,C,2012-11-16,1,1,2,2,0,1,1,0,1,0.173,0.518,0.333976834,0.691,NA,NA,NA,NA,NA,0,0.250361795,0.749638205
SFJ,Fort Johnson,Short,2,30,Short,FB,sympatric,allopatric,SFB,SFB 19,G,2012-11-16,1,3,15,30,0,1,1,0,3,0.286,0.822,0.347931873,1.108,NA,NA,NA,NA,NA,0,0.258122744,0.741877256
TFJ,Fort Johnson,Tall,2,17,Short,BI,allopatric,allopatric,SBI,SBI 15,D,2012-11-16,1,1,5,5,0,1,1,0,1,0.451,1.272,0.354559748,1.723,NA,NA,NA,NA,NA,0,0.261752757,0.738247243
TFB,Folly Beach,Tall,2,20,Tall,BI,sympatric,allopatric,TBI,TBI 6,B,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.27,0.711,0.379746835,0.981,NA,NA,NA,NA,NA,0,0.275229358,0.724770642
TFB,Folly Beach,Tall,1,1,Short,FB,allopatric,allopatric,SFB,SFB 9,E,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.047,0.121,0.388429752,0.168,NA,NA,NA,NA,NA,0,0.279761905,0.720238095
SBI,Bowens Island,Short,1,24,Tall,BI,allopatric,allopatric,TBI,TBI 3,C,12/13/16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.092,0.234,0.393162393,0.326,NA,NA,NA,NA,NA,0,0.282208589,0.717791411
SFJ,Fort Johnson,Short,2,6,Short,FJ,sympatric,sympatric,SFJ,SFJ 9,E,2012-11-16,1,13,21.76923077,38,0,1,1,0,13,1.908,4.75,0.401684211,6.658,NA,NA,NA,NA,NA,0,0.286572544,0.713427456
TFJ,Fort Johnson,Tall,2,26,Tall,FB,sympatric,allopatric,TFB,TFB 4,D,2012-11-16,1,4,20.75,28,0,1,1,0,4,1.37,3.313,0.413522487,4.683,NA,NA,NA,NA,NA,0,0.292547512,0.707452488
TFJ,Fort Johnson,Tall,2,9,Short,FJ,allopatric,allopatric,SFJ,SFJ 12,E,2012-11-16,1,2,24,30,0,1,1,0,2,1.631,3.883,0.420036055,5.514,NA,NA,NA,NA,NA,0,0.295792528,0.704207472
