Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Surivial,Flower.yes=1,Time,Total Number of flowers
SBI,Bowens Island,Short,1,1,Tall,FJ,allopatric,allopatric,TFJ,TFJ 9,A,1,0,30,
SBI,Bowens Island,Short,1,2,Short,BI,sympatric,sympatric,SBI,SBI 10,B,1,0,30,
SBI,Bowens Island,Short,1,3,Short,FJ,sympatric,allopatric,SFJ,SFJ 25,F,1,1,22,1
SBI,Bowens Island,Short,1,4,Tall,BI,allopatric,allopatric,TBI,TBI 14,D,1,1,22,1
SBI,Bowens Island,Short,1,5,Tall,BI,allopatric,allopatric,TBI,TBI 1,D,1,0,30,
SBI,Bowens Island,Short,1,6,Tall,FJ,allopatric,allopatric,TFJ,TFJ 5,B,1,0,30,
SBI,Bowens Island,Short,1,7,Tall,FB,allopatric,allopatric,TFB,TFB 1,F,1,0,30,
SBI,Bowens Island,Short,1,8,Short,FB,sympatric,allopatric,SFB,SFB 9,B,1,0,30,
SBI,Bowens Island,Short,1,9,Short,BI,sympatric,sympatric,SBI,SBI 9,D,1,0,30,
SBI,Bowens Island,Short,1,10,Short,FB,sympatric,allopatric,SFB,SFB 23,G,1,1,20,1
SBI,Bowens Island,Short,1,11,Tall,FJ,allopatric,allopatric,TFJ,TFJ 19,E,1,0,30,
SBI,Bowens Island,Short,1,12,Tall,FB,allopatric,allopatric,TFB,TFB 25,H,1,0,30,
SBI,Bowens Island,Short,1,13,Short,FJ,sympatric,allopatric,SFJ,SFJ 9,D,1,0,30,
SBI,Bowens Island,Short,1,14,Tall,BI,allopatric,allopatric,TBI,TBI 17,D,1,1,19,2
SBI,Bowens Island,Short,1,15,Short,FB,sympatric,allopatric,SFB,SFB 19,B,1,0,30,
SBI,Bowens Island,Short,1,16,Short,BI,sympatric,sympatric,SBI,SBI 6,A,1,0,30,
SBI,Bowens Island,Short,1,17,Short,FB,sympatric,allopatric,SFB,SFB 11,B,1,1,22,5
SBI,Bowens Island,Short,1,18,Tall,FB,allopatric,allopatric,TFB,TFB 4,E,1,0,30,
SBI,Bowens Island,Short,1,19,Tall,FB,allopatric,allopatric,TFB,TFB 13,E,1,0,30,
SBI,Bowens Island,Short,1,20,Tall,BI,allopatric,allopatric,TBI,TBI 19,A,1,0,30,
SBI,Bowens Island,Short,1,21,Short,FJ,sympatric,allopatric,SFJ,SFJ 12,F,1,0,30,
SBI,Bowens Island,Short,1,22,Tall,FJ,allopatric,allopatric,TFJ,TFJ 16,E,1,0,30,
SBI,Bowens Island,Short,1,23,Short,FJ,sympatric,allopatric,SFJ,SFJ 20,H,1,0,30,
SBI,Bowens Island,Short,1,24,Tall,BI,allopatric,allopatric,TBI,TBI 3,C,0,0,30,
SBI,Bowens Island,Short,1,25,Short,BI,sympatric,sympatric,SBI,SBI 2,C,1,0,30,
SBI,Bowens Island,Short,1,26,Short,BI,sympatric,sympatric,SBI,SBI 1,D,1,0,30,
SBI,Bowens Island,Short,1,27,Short,FB,sympatric,allopatric,SFB,SFB 12,C,1,0,30,
SBI,Bowens Island,Short,1,28,Tall,FB,allopatric,allopatric,TFB,TFB 17,B,1,0,30,
SBI,Bowens Island,Short,1,29,Short,FJ,sympatric,allopatric,SFJ,SFJ 7,A,1,0,30,
SBI,Bowens Island,Short,1,30,Tall,FJ,allopatric,allopatric,TFJ,TFJ 17,D,1,0,30,
SBI,Bowens Island,Short,2,1,Tall,FB,allopatric,allopatric,TFB,TFB 12,F,1,1,20,1
SBI,Bowens Island,Short,2,2,Tall,FJ,allopatric,allopatric,TFJ,TFJ 1,G,1,0,30,
SBI,Bowens Island,Short,2,3,Tall,BI,allopatric,allopatric,TBI,TBI 22,H,1,1,18,1
SBI,Bowens Island,Short,2,4,Short,BI,sympatric,sympatric,SBI,SBI 16,F,1,0,30,
SBI,Bowens Island,Short,2,5,Short,FB,sympatric,allopatric,SFB,SFB 4,B,1,0,30,
SBI,Bowens Island,Short,2,6,Short,FJ,sympatric,allopatric,SFJ,SFJ 8,C,1,0,30,
SBI,Bowens Island,Short,2,7,Tall,BI,allopatric,allopatric,TBI,TBI 6,G,1,0,30,
SBI,Bowens Island,Short,2,8,Tall,FJ,allopatric,allopatric,TFJ,TFJ 15,D,1,0,30,
SBI,Bowens Island,Short,2,9,Tall,BI,allopatric,allopatric,TBI,TBI 11,A,1,1,22,1
SBI,Bowens Island,Short,2,10,Short,BI,sympatric,sympatric,SBI,SBI 15,C,1,1,18,3
SBI,Bowens Island,Short,2,11,Tall,FJ,allopatric,allopatric,TFJ,TFJ 20,C,1,0,30,
SBI,Bowens Island,Short,2,12,Tall,FB,allopatric,allopatric,TFB,TFB 10,D,1,0,30,
SBI,Bowens Island,Short,2,13,Short,FJ,sympatric,allopatric,SFJ,SFJ 22,E,1,1,22,1
SBI,Bowens Island,Short,2,14,Short,FJ,sympatric,allopatric,SFJ,SFJ 16,H,1,0,30,
SBI,Bowens Island,Short,2,15,Tall,FB,allopatric,allopatric,TFB,TFB 7,B,1,1,23,1
SBI,Bowens Island,Short,2,16,Short,FB,sympatric,allopatric,SFB,SFB 25,G,1,0,30,
SBI,Bowens Island,Short,2,17,Tall,FB,allopatric,allopatric,TFB,TFB 3,C,1,0,30,
SBI,Bowens Island,Short,2,18,Short,BI,sympatric,sympatric,SBI,SBI 19,E,1,1,18,4
SBI,Bowens Island,Short,2,19,Short,BI,sympatric,sympatric,SBI,SBI 7,G,1,0,30,
SBI,Bowens Island,Short,2,20,Short,FJ,sympatric,allopatric,SFJ,SFJ 6,A,1,0,30,
SBI,Bowens Island,Short,2,21,Tall,FB,allopatric,allopatric,TFB,TFB 5,E,1,0,30,
SBI,Bowens Island,Short,2,22,Tall,BI,allopatric,allopatric,TBI,TBI 4,B,1,0,30,
SBI,Bowens Island,Short,2,23,Short,BI,sympatric,sympatric,SBI,SBI 20,E,1,0,30,
SBI,Bowens Island,Short,2,24,Tall,BI,allopatric,allopatric,TBI,TBI 21,D,1,1,18,2
SBI,Bowens Island,Short,2,25,Tall,FJ,allopatric,allopatric,TFJ,TFJ 24,F,1,0,30,
SBI,Bowens Island,Short,2,26,Short,FB,sympatric,allopatric,SFB,SFB 6,A,1,0,30,
SBI,Bowens Island,Short,2,27,Tall,FJ,allopatric,allopatric,TFJ,TFJ 13,D,0,0,30,
SBI,Bowens Island,Short,2,28,Short,FB,sympatric,allopatric,SFB,SFB 15,D,1,0,30,
SBI,Bowens Island,Short,2,29,Short,FB,sympatric,allopatric,SFB,SFB 2,C,1,0,30,
SBI,Bowens Island,Short,2,30,Short,FJ,sympatric,allopatric,SFJ,SFJ 13,A,1,0,30,
