Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Julian Day,Surivial,Flower.yes=1 ,Total Number of flowers,,Flower No (FROM biomass prior to outlier removed),Total Seeds,Avg No Seeds Per Flower
SBI,Bowens Island,Short,1,1,Tall,FJ,allopatric,TFJ,TFJ 9,A,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,2,Short,BI,sympatric,SBI,SBI 10,B,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,3,Short,FJ,sympatric,SFJ,SFJ 25,F,12-Dec,347,1,1,1,,1,46,46
SBI,Bowens Island,Short,1,4,Tall,BI,allopatric,TBI,TBI 14,D,12-Dec,347,1,1,1,,NA,NA,NA
SBI,Bowens Island,Short,1,5,Tall,BI,allopatric,TBI,TBI 1,D,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,6,Tall,FJ,allopatric,TFJ,TFJ 5,B,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,7,Tall,FB,allopatric,TFB,TFB 1,F,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,8,Short,FB,sympatric,SFB,SFB 9,B,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,9,Short,BI,sympatric,SBI,SBI 9,D,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,10,Short,FB,sympatric,SFB,SFB 23,G,12-Dec,347,1,1,1,,1,123,123
SBI,Bowens Island,Short,1,11,Tall,FJ,allopatric,TFJ,TFJ 19,E,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,12,Tall,FB,allopatric,TFB,TFB 25,H,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,13,Short,FJ,sympatric,SFJ,SFJ 9,D,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,14,Tall,BI,allopatric,TBI,TBI 17,D,12-Dec,347,1,1,2,,2,96,48
SBI,Bowens Island,Short,1,15,Short,FB,sympatric,SFB,SFB 19,B,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,16,Short,BI,sympatric,SBI,SBI 6,A,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,17,Short,FB,sympatric,SFB,SFB 11,B,12-Dec,347,1,1,5,,5,196,39.2
SBI,Bowens Island,Short,1,18,Tall,FB,allopatric,TFB,TFB 4,E,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,19,Tall,FB,allopatric,TFB,TFB 13,E,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,20,Tall,BI,allopatric,TBI,TBI 19,A,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,21,Short,FJ,sympatric,SFJ,SFJ 12,F,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,22,Tall,FJ,allopatric,TFJ,TFJ 16,E,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,23,Short,FJ,sympatric,SFJ,SFJ 20,H,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,24,Tall,BI,allopatric,TBI,TBI 3,C,12-Dec,347,0,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,25,Short,BI,sympatric,SBI,SBI 2,C,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,26,Short,BI,sympatric,SBI,SBI 1,D,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,27,Short,FB,sympatric,SFB,SFB 12,C,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,28,Tall,FB,allopatric,TFB,TFB 17,B,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,29,Short,FJ,sympatric,SFJ,SFJ 7,A,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,1,30,Tall,FJ,allopatric,TFJ,TFJ 17,D,12-Dec,347,1,0,,,1,83,83
SBI,Bowens Island,Short,2,1,Tall,FB,allopatric,TFB,TFB 12,F,12-Dec,347,1,1,1,,NA,NA,NA
SBI,Bowens Island,Short,2,2,Tall,FJ,allopatric,TFJ,TFJ 1,G,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,3,Tall,BI,allopatric,TBI,TBI 22,H,12-Dec,347,1,1,1,,1,112,112
SBI,Bowens Island,Short,2,4,Short,BI,sympatric,SBI,SBI 16,F,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,5,Short,FB,sympatric,SFB,SFB 4,B,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,6,Short,FJ,sympatric,SFJ,SFJ 8,C,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,7,Tall,BI,allopatric,TBI,TBI 6,G,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,8,Tall,FJ,allopatric,TFJ,TFJ 15,D,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,9,Tall,BI,allopatric,TBI,TBI 11,A,12-Dec,347,1,1,1,,2,36,18
SBI,Bowens Island,Short,2,10,Short,BI,sympatric,SBI,SBI 15,C,12-Dec,347,1,1,3,,3,237,79
SBI,Bowens Island,Short,2,11,Tall,FJ,allopatric,TFJ,TFJ 20,C,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,12,Tall,FB,allopatric,TFB,TFB 10,D,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,13,Short,FJ,sympatric,SFJ,SFJ 22,E,12-Dec,347,1,1,1,,1,51,51
SBI,Bowens Island,Short,2,14,Short,FJ,sympatric,SFJ,SFJ 16,H,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,15,Tall,FB,allopatric,TFB,TFB 7,B,12-Dec,347,1,1,1,,NA,NA,NA
SBI,Bowens Island,Short,2,16,Short,FB,sympatric,SFB,SFB 25,G,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,17,Tall,FB,allopatric,TFB,TFB 3,C,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,18,Short,BI,sympatric,SBI,SBI 19,E,12-Dec,347,1,1,4,,4,340,85
SBI,Bowens Island,Short,2,19,Short,BI,sympatric,SBI,SBI 7,G,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,20,Short,FJ,sympatric,SFJ,SFJ 6,A,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,21,Tall,FB,allopatric,TFB,TFB 5,E,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,22,Tall,BI,allopatric,TBI,TBI 4,B,12-Dec,347,1,0,,,NA,NA,NA
